,Player,Pos,Squad,Rk,Tkl,Tkl,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp%,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK,Fls,Fld,PKwon,OG,Recov,Won%
659,Stefano Denswil,DF,Bologna,660,49,26,28,23,31,68,0,24.9,1091,447,528,101,85.1,91.2,88.3,66.0,1,0.6,9,99,7,0,113,27,2,10,10.0,1.2,1504,7,71.4,20,11,3,8,0,0.00,28,29,0,1,123,54.7
660,Fabio Depaoli,"MF,DF",Sampdoria,661,41,17,28,29,16,39,0,20.6,459,250,158,40,66.7,83.3,66.4,48.8,1,2.7,30,27,28,19,66,57,4,26,15.4,1.1,934,41,48.8,37,29,14,135,0,0.00,59,30,1,0,81,32.9
661,Kastriot Dermaku,DF,Parma,662,13,3,5,20,12,61,1,11.4,325,88,180,50,83.5,88.0,89.1,64.9,0,0.1,1,11,0,0,14,5,0,3,66.7,0.7,512,0,,0,2,1,1,0,0.00,18,4,0,0,40,67.5
662,Daniele Dessena,MF,Brescia,663,21,6,11,11,11,21,0,20.8,545,270,205,46,79.0,88.8,84.0,47.9,0,0.3,3,64,10,2,96,25,3,18,27.8,1.9,849,23,52.2,21,30,20,44,2,0.10,26,20,2,0,98,42.3
663,Mattia Destro,FW,Bologna,664,3,1,2,1,0,0,0,2.1,15,8,6,1,68.2,88.9,60.0,100.0,0,1.0,3,2,2,0,5,3,0,5,20.0,0.6,42,1,100.0,1,6,3,8,0,0.00,6,2,0,0,4,21.1
664,Mattia Destro,"FW,MF",Genoa,665,0,0,0,0,0,1,0,1.7,18,11,4,0,75.0,78.6,100.0,,0,0.0,0,1,0,0,0,3,0,7,57.1,0.8,40,3,100.0,4,2,0,9,0,0.00,3,2,0,0,3,28.6
665,Gerard Deulofeu,FW,Watford,666,33,12,16,10,25,6,0,23.3,598,348,166,40,72.1,86.8,72.8,46.5,5,4.1,44,26,28,1,63,104,10,63,31.7,5.5,1112,105,59.0,123,67,52,170,3,0.13,27,22,1,0,126,5.9
666,Deyverson,FW,Getafe,667,0,0,0,2,0,5,0,2.3,31,14,8,5,47.0,60.9,50.0,35.7,1,0.4,2,8,2,0,10,5,2,5,20.0,0.6,91,5,60.0,2,5,7,7,0,0.00,7,0,0,0,11,58.6
667,Samuel Di Carmine,"FW,MF",Hellas Verona,668,2,0,1,3,1,10,0,14.4,166,111,26,3,67.2,73.0,61.9,60.0,0,0.6,6,6,2,0,7,23,2,30,46.7,5.2,347,6,50.0,8,28,13,79,7,0.49,33,26,2,0,13,38.4
668,Federico Di Francesco,FW,SPAL,669,11,3,5,9,3,2,1,12.0,255,153,73,18,74.3,86.9,73.7,40.9,0,1.0,18,13,11,1,21,50,4,25,36.0,2.1,469,27,55.6,29,23,15,82,2,0.17,19,30,1,0,39,35.0
669,Giovanni Di Lorenzo,DF,Napoli,670,59,32,35,27,28,54,0,33.0,1979,1135,656,113,86.8,93.7,86.9,68.5,3,2.2,30,128,39,9,204,76,5,20,30.0,3.2,2538,33,63.6,67,32,20,151,3,0.09,32,52,0,0,148,51.8
670,Ángel Di María,"FW,MF",Paris S-G,671,17,4,12,14,11,1,3,22.2,908,483,267,109,70.3,87.2,71.2,49.5,14,14.5,77,82,82,15,178,143,24,72,30.6,6.7,1584,133,50.4,111,53,27,275,7,0.32,12,22,0,0,86,25.0
671,Boulaye Dia,FW,Reims,672,15,3,9,9,7,16,0,20.1,236,148,71,8,72.6,81.8,72.4,66.7,1,2.8,29,15,9,0,21,46,4,38,44.7,5.0,550,48,45.8,32,58,31,115,6,0.30,24,25,1,0,57,25.0
672,Fousseni Diabaté,"FW,MF",Amiens,673,16,5,10,11,8,3,1,13.2,350,230,76,14,74.6,83.0,70.4,66.7,3,1.6,13,24,6,3,27,24,4,7,28.6,0.6,621,47,61.7,47,51,27,111,1,0.08,12,9,0,0,80,32.0
673,Moussa Diaby,"FW,MF",Leverkusen,674,10,5,8,6,9,4,0,19.7,506,315,141,31,72.6,85.1,70.9,48.4,5,5.7,34,19,27,14,44,72,10,41,56.1,5.1,927,107,63.6,118,75,37,204,5,0.25,13,20,0,0,89,16.7
674,Mouctar Diakhaby,DF,Valencia,675,11,5,8,17,11,73,0,16.0,718,237,395,73,88.3,90.5,93.6,69.5,0,0.1,2,37,1,1,43,7,1,1,100.0,0.1,960,6,100.0,16,5,5,1,0,0.00,17,14,0,0,71,62.7
675,Bafodé Diakité,DF,Toulouse,676,23,7,19,18,20,75,0,15.2,568,246,276,43,85.7,93.2,91.7,49.4,0,0.0,1,23,3,1,43,9,0,10,50.0,1.6,820,6,66.7,9,3,1,3,2,0.13,5,4,0,0,83,50.0
676,Abdou Diallo,DF,Paris S-G,677,20,8,11,9,10,32,0,13.3,985,404,481,84,92.3,94.6,94.7,80.0,1,0.5,4,70,5,1,88,11,1,5,40.0,1.2,1167,19,84.2,21,14,3,10,0,0.00,24,7,0,0,95,61.5
677,Amad Diallo,FW,Atalanta,678,1,0,1,0,0,0,0,0.3,13,7,5,0,68.4,70.0,83.3,0.0,0,0.1,1,1,1,0,3,2,0,1,100.0,0.0,23,2,50.0,3,1,0,9,1,3.33,1,0,0,0,0,
678,Habib Diallo,FW,Metz,679,2,0,1,6,4,43,0,24.4,299,168,93,10,66.2,71.2,74.4,55.6,3,2.6,24,15,5,1,19,54,9,73,38.4,7.2,753,42,50.0,35,87,33,129,11,0.45,35,22,0,0,56,41.9
679,Ibrahima Diallo,MF,Brest,680,38,12,24,9,23,16,3,17.3,732,238,399,89,85.3,84.7,91.7,77.4,1,0.7,10,55,4,0,69,19,3,5,40.0,0.2,992,32,81.3,24,23,22,18,0,0.00,18,22,0,0,145,57.7
680,Moussa Diarra,DF,Toulouse,681,3,1,3,0,3,2,0,1.0,41,20,20,1,74.5,95.2,76.9,14.3,0,0.0,0,0,0,0,1,0,0,0,,0.0,65,0,,0,0,0,0,0,0.00,0,1,0,0,6,14.3
681,Lucas Dias,GK,Nîmes,682,1,1,1,0,0,2,0,3.5,50,8,14,28,50.5,100.0,100.0,36.8,0,0.0,0,1,0,0,0,1,0,0,,0.0,115,0,,0,0,0,0,0,0.00,0,0,0,0,3,100.0
682,Amadou Diawara,MF,Roma,683,40,8,25,10,33,16,2,16.9,890,359,410,109,88.6,91.8,91.3,77.3,1,0.5,16,93,6,1,90,41,3,9,33.3,0.3,1120,11,100.0,15,4,2,13,0,0.00,28,17,0,0,119,43.8
683,Brahim Díaz,FW,Real Madrid,684,1,0,0,2,0,0,0,0.7,33,23,7,1,80.5,85.2,100.0,100.0,0,0.0,0,3,0,0,2,1,0,3,66.7,0.2,57,5,40.0,6,4,3,9,0,0.00,1,6,0,0,2,0.0
684,Víctor Díaz,DF,Granada,685,74,31,43,53,48,94,1,32.0,1027,408,424,163,66.0,81.4,72.5,44.4,5,4.3,29,92,35,20,124,52,6,16,6.3,0.9,1889,25,44.0,32,16,4,59,1,0.03,20,12,0,0,141,61.5
685,Bakaye Dibassy,DF,Amiens,686,26,15,14,29,37,78,2,20.8,715,344,315,34,78.9,88.9,84.0,33.3,0,0.1,2,31,3,2,48,7,0,5,80.0,1.2,1121,13,84.6,15,16,2,11,2,0.10,21,13,0,1,114,40.3
686,Eric Dier,"DF,MF",Tottenham,687,21,10,12,14,21,65,0,14.9,738,272,376,74,80.0,85.3,87.6,56.1,2,0.4,7,51,2,0,37,13,1,8,12.5,0.9,1082,4,100.0,4,5,4,4,0,0.00,19,4,0,0,59,61.1
687,Lucas Digne,DF,Everton,688,73,33,49,39,42,108,0,33.7,1371,728,453,148,67.9,82.3,68.7,45.1,7,6.3,72,94,43,28,134,125,10,29,13.8,1.5,2376,36,63.9,69,28,24,251,0,0.00,43,29,0,1,182,67.9
688,Mitchell Dijks,DF,Bologna,689,13,8,10,5,10,23,0,11.2,424,220,176,22,77.8,86.3,82.2,50.0,0,1.0,11,38,11,7,54,19,0,0,,0.0,649,24,25.0,29,14,6,45,0,0.00,21,13,0,0,51,47.6
689,Javairô Dilrosun,"MF,FW",Hertha BSC,690,15,5,8,20,18,10,0,14.5,280,150,92,25,70.2,81.1,70.8,53.2,2,1.5,11,33,11,5,43,25,5,19,31.6,2.8,584,55,69.1,64,37,22,65,4,0.28,6,19,0,0,80,23.5
690,Federico Dimarco,DF,Hellas Verona,691,11,6,5,3,4,11,0,5.8,308,160,105,36,72.5,88.9,74.5,43.4,3,2.0,12,40,7,1,43,19,4,13,23.1,0.7,477,4,75.0,18,5,2,38,0,0.00,9,7,0,1,44,37.5
691,Federico Dimarco,DF,Inter,692,1,0,0,0,1,1,0,0.3,11,7,3,1,84.6,100.0,75.0,50.0,0,0.0,0,1,0,0,1,0,0,1,0.0,0.0,18,0,,1,2,0,0,0,0.00,1,0,0,0,3,0.0
692,Tristan Dingomé,MF,Reims,693,10,2,4,6,6,1,0,9.9,267,136,97,25,71.4,81.0,76.4,59.5,1,1.4,12,28,13,0,51,30,3,9,11.1,0.4,441,5,60.0,1,21,11,48,0,0.00,20,10,0,0,42,25.0
693,Lois Diony,FW,Saint-Étienne,694,15,5,5,3,1,0,0,7.4,65,34,21,2,60.7,70.8,55.3,50.0,0,0.3,5,5,5,0,9,12,0,15,46.7,1.2,177,6,16.7,15,19,14,45,2,0.27,11,8,0,0,15,28.6
694,Issa Diop,DF,West Ham,695,27,16,15,37,47,166,2,30.7,762,281,393,75,77.8,85.4,87.3,45.5,1,1.2,5,44,2,0,44,10,1,15,40.0,1.5,1317,7,71.4,7,10,5,2,3,0.10,31,11,0,0,145,66.9
695,Papakouli Diop,MF,Eibar,696,39,18,26,24,34,38,0,25.0,564,227,258,68,71.5,76.9,79.4,54.0,0,0.5,15,79,2,0,94,33,1,27,22.2,1.2,1033,12,33.3,6,29,14,13,1,0.04,53,34,0,0,141,56.9
696,Assane Dioussé,MF,Saint-Étienne,697,1,0,1,0,0,2,0,1.3,38,21,16,1,76.0,75.0,84.2,50.0,0,0.1,1,1,1,0,6,3,1,1,100.0,0.0,62,3,66.7,4,2,1,1,0,0.00,3,0,0,0,10,50.0
697,Axel Disasi,DF,Reims,698,32,17,21,29,26,97,0,27.0,1270,347,716,195,84.3,89.2,91.7,63.7,0,0.4,5,93,8,0,114,22,1,15,13.3,2.8,1759,8,50.0,42,11,5,3,1,0.04,37,24,0,0,130,58.7
698,Tiago Djaló,DF,Lille,699,9,2,4,3,11,28,0,7.3,385,117,220,36,85.2,94.4,92.1,57.1,0,0.0,1,9,0,0,21,4,0,0,,0.0,507,4,75.0,6,3,3,2,0,0.00,9,5,0,0,54,47.4
699,Djené,DF,Getafe,700,42,17,32,20,34,105,1,34.0,711,196,376,131,69.0,76.9,78.8,50.0,0,0.2,6,75,6,3,98,13,1,5,20.0,0.3,1305,18,77.8,20,18,8,7,0,0.00,41,25,0,1,228,57.7
700,Moussa Djenepo,"MF,DF",Southampton,701,27,11,21,15,9,9,0,10.3,188,114,52,9,69.6,85.1,65.8,37.5,2,1.9,11,13,11,1,27,39,6,20,35.0,2.4,461,66,66.7,39,40,21,72,2,0.19,23,30,0,0,48,15.8
701,Koffi Djidji,DF,Torino,702,27,8,12,28,15,53,1,9.5,338,123,172,43,85.8,89.1,91.0,70.5,0,0.0,1,10,0,0,16,4,1,0,,0.0,526,9,88.9,0,2,5,1,0,0.00,12,2,0,1,56,50.0
702,Alexander Djiku,"DF,MF",Strasbourg,703,46,21,32,14,55,82,4,22.9,1056,338,537,157,85.6,90.1,89.9,72.4,1,0.3,6,58,4,2,93,19,1,20,35.0,2.6,1486,17,70.6,6,11,12,5,1,0.04,37,23,0,0,128,69.0
703,Berat Djimsiti,DF,Atalanta,704,42,22,23,21,49,92,0,30.9,1615,798,612,129,86.1,92.6,86.7,67.2,1,1.1,12,83,5,0,93,31,1,21,23.8,2.0,2155,11,72.7,13,17,7,36,2,0.06,32,37,0,0,199,69.8
704,Naïs Djouahra,FW,Real Sociedad,705,0,0,0,0,0,0,0,0.3,14,6,5,0,60.9,66.7,83.3,0.0,1,0.2,2,2,0,0,2,2,0,1,0.0,0.1,25,1,100.0,4,0,0,3,0,0.00,1,0,0,0,2,100.0
705,Marko Dmitrović,GK,Eibar,706,3,3,2,1,3,24,0,35.0,485,41,126,316,45.5,100.0,95.5,35.8,0,0.0,1,62,1,0,0,10,0,1,100.0,0.5,1153,1,100.0,0,1,0,0,0,0.00,1,1,0,0,53,100.0
706,Matt Doherty,"MF,DF",Wolves,707,55,27,29,34,40,52,1,31.5,1392,817,428,83,75.1,85.0,71.7,56.1,3,2.2,21,83,24,7,158,63,14,35,42.9,6.9,2196,48,58.3,75,47,15,155,4,0.13,28,18,1,0,160,57.9
707,Kasper Dolberg,FW,Nice,708,10,4,6,18,10,24,0,21.0,221,132,75,3,76.2,81.0,86.2,75.0,3,2.3,12,7,2,0,10,27,4,42,59.5,8.1,527,35,37.1,20,62,27,90,11,0.52,25,36,0,0,32,47.5
708,Keagan Dolly,MF,Montpellier,709,6,2,3,1,1,0,0,1.6,60,32,24,2,80.0,86.5,96.0,28.6,0,0.2,4,10,1,0,8,8,0,4,75.0,0.1,93,6,33.3,4,3,1,13,0,0.00,6,0,0,0,12,0.0
709,Jaume Doménech,GK,Valencia,710,0,0,0,0,1,3,1,14.7,304,77,96,125,65.9,100.0,94.1,45.3,0,0.0,1,3,0,0,0,2,0,0,,0.0,501,0,,0,0,0,0,0,0.00,0,0,0,0,15,50.0
710,Nicolás Domínguez,MF,Bologna,711,21,7,14,12,12,7,0,7.8,337,161,127,33,82.8,89.9,86.4,66.0,1,1.1,11,30,8,1,40,21,1,10,10.0,0.4,492,6,66.7,7,5,1,12,0,0.00,16,6,0,0,70,30.8
711,Giulio Donati,DF,Lecce,712,32,15,21,19,25,42,0,19.6,841,416,340,74,84.7,93.3,85.6,62.7,0,2.1,25,51,28,19,73,43,6,9,22.2,0.3,1152,19,52.6,57,15,9,53,1,0.05,17,29,0,1,90,54.5
712,Ji Dong-won,"FW,MF",Mainz 05,713,0,0,0,1,0,0,0,1.1,14,9,3,1,53.8,69.2,42.9,50.0,0,0.0,0,0,0,0,0,0,0,0,,0.0,34,1,0.0,0,4,4,6,0,0.00,3,2,0,0,1,33.3
713,Anastasios Donis,FW,Reims,714,3,1,2,2,1,3,0,6.8,66,33,28,5,54.1,66.0,57.1,35.7,0,0.3,6,1,1,1,3,12,0,16,43.8,1.4,193,33,63.6,26,14,7,44,0,0.00,18,8,0,0,20,25.0
714,Alfredo Donnarumma,FW,Brescia,715,17,6,9,7,5,1,0,18.7,296,152,92,17,67.7,73.4,76.0,58.6,2,0.9,14,29,14,0,52,48,5,40,32.5,5.2,585,21,52.4,28,36,28,129,5,0.27,18,34,0,0,45,24.5
715,Gianluigi Donnarumma,GK,Milan,716,1,1,0,0,3,25,7,35.6,880,166,419,291,77.3,99.4,98.4,53.9,0,0.0,0,3,0,0,1,5,0,0,,0.0,1239,0,,0,1,0,0,0,0.00,1,4,0,0,30,100.0
716,Gabriel Dos Santos,DF,Lille,717,41,15,29,27,22,86,2,23.2,1236,379,707,125,81.9,88.6,91.0,49.8,0,0.1,3,88,2,0,107,18,1,17,23.5,1.3,1750,2,100.0,25,10,6,3,1,0.04,18,26,0,1,136,64.8
717,Mathieu Dossevi,"MF,FW",Toulouse,718,32,15,20,17,14,7,0,19.5,460,252,131,56,62.4,79.5,66.2,41.2,2,5.1,49,26,30,18,57,80,4,24,12.5,1.7,950,55,56.4,91,53,34,163,1,0.05,22,22,0,0,79,19.4
718,Bas Dost,FW,Eint Frankfurt,719,11,3,7,6,5,22,0,16.4,271,150,83,14,58.9,62.5,57.2,56.0,2,2.2,19,36,5,0,42,42,7,32,53.1,7.8,573,4,50.0,2,20,4,72,8,0.49,16,13,0,0,36,65.8
719,Abdoulaye Doucouré,MF,Watford,720,64,16,30,46,31,32,0,35.1,1320,714,456,61,77.1,82.8,83.2,60.4,2,3.9,38,120,27,2,161,95,8,61,19.7,5.2,2090,67,59.7,69,58,31,96,4,0.11,51,15,0,1,270,49.5
720,Mamadou Doucouré,MF,M'Gladbach,721,0,0,0,0,0,0,0,0.0,9,6,2,1,100.0,100.0,100.0,100.0,0,0.0,0,0,0,0,0,0,0,0,,0.0,9,0,,0,0,0,0,0,0.00,0,1,0,0,1,
721,Moussa Doumbia,"FW,MF",Reims,722,16,7,8,14,9,5,0,19.1,532,310,148,54,77.2,84.0,80.0,65.9,1,2.1,25,41,17,4,79,71,3,44,20.5,2.6,957,83,48.2,102,67,32,159,1,0.05,20,56,1,0,122,17.4
722,Souleyman Doumbia,DF,Angers,723,10,5,4,5,6,18,0,5.0,226,118,88,8,75.8,89.4,80.0,25.0,1,0.2,4,11,4,2,19,9,2,0,,0.0,362,8,62.5,22,7,2,16,0,0.00,5,2,0,0,39,36.4
723,Souleyman Doumbia,DF,Rennes,724,1,1,1,2,0,3,0,1.0,38,19,17,1,80.9,95.0,77.3,50.0,0,0.0,1,1,0,0,4,1,0,0,,0.0,58,5,60.0,1,0,0,3,0,0.00,1,0,0,0,3,50.0
724,Tommy Doyle,MF,Manchester City,725,0,0,0,0,0,0,0,0.2,20,11,6,2,100.0,100.0,100.0,100.0,0,0.0,0,0,0,0,0,0,0,1,100.0,0.0,21,0,,0,0,0,0,0,0.00,0,1,0,0,1,
725,Mohamed Dräger,DF,Paderborn 07,726,32,14,21,17,18,39,0,16.2,621,275,256,73,75.6,83.8,79.8,72.3,3,1.2,15,27,12,3,45,30,5,14,14.3,0.6,1036,45,33.3,61,26,20,61,1,0.06,16,22,0,0,91,38.1
726,Aleksandar Dragović,DF,Leverkusen,727,18,10,11,9,15,39,0,11.4,847,304,429,107,88.6,91.3,92.1,77.5,0,0.1,2,60,3,0,73,13,0,2,0.0,0.7,1056,1,100.0,9,2,1,1,0,0.00,17,5,0,0,60,65.6
727,Bartłomiej Drągowski,GK,Fiorentina,728,0,0,0,0,3,8,1,31.0,645,126,318,196,71.7,100.0,97.8,44.4,0,0.0,0,6,0,0,0,8,2,0,,0.0,977,0,,0,2,0,0,0,0.00,1,6,0,0,40,85.7
728,Julian Draxler,MF,Paris S-G,729,13,7,10,7,10,1,0,7.6,429,236,154,18,88.5,91.8,90.6,75.0,4,1.8,12,26,18,0,61,22,8,13,38.5,1.1,550,15,60.0,35,13,11,51,0,0.00,17,4,0,0,52,75.0
729,Dominick Drexler,"MF,FW",Köln,730,34,8,25,11,26,11,0,17.6,483,234,181,39,72.4,81.3,76.1,51.3,4,3.5,27,36,28,12,64,66,7,20,40.0,1.9,852,34,50.0,50,25,21,103,3,0.17,26,39,0,0,123,35.4
730,Danny Drinkwater,MF,Aston Villa,731,5,2,3,5,5,5,1,2.9,138,67,54,16,81.7,84.8,91.5,72.7,0,0.0,1,18,1,0,20,4,0,2,0.0,0.1,200,4,25.0,2,3,3,4,0,0.00,7,1,0,0,30,0.0
731,Danny Drinkwater,MF,Burnley,732,2,0,1,0,1,0,0,0.6,14,5,8,0,58.3,71.4,88.9,0.0,0,0.0,0,0,0,0,0,0,0,0,,0.0,28,0,,0,1,0,1,0,0.00,1,0,0,0,6,0.0
732,Josip Drmić,FW,Norwich City,733,3,0,2,6,1,5,1,7.2,125,81,26,3,75.8,82.7,78.8,30.0,0,1.1,4,2,1,0,4,10,0,14,35.7,3.1,241,14,42.9,5,22,15,42,1,0.14,6,4,0,0,29,34.6
733,Domingos Duarte,DF,Granada,734,30,11,19,34,34,153,1,34.3,988,245,574,159,77.3,83.9,87.2,54.3,1,0.1,1,67,5,1,90,12,1,13,38.5,1.6,1576,7,71.4,16,5,0,3,3,0.09,39,22,0,0,107,59.1
734,Léo Duarte,DF,Milan,735,4,1,3,9,3,9,0,4.5,172,52,102,16,86.9,89.7,91.9,72.7,0,0.0,0,4,0,0,8,1,0,3,0.0,0.4,232,1,100.0,1,4,1,0,0,0.00,3,2,0,0,12,46.7
735,Óscar Duarte,DF,Levante,736,12,3,3,7,6,29,0,5.4,196,52,107,35,82.0,89.7,92.2,60.3,0,0.0,0,5,0,0,9,4,1,4,25.0,0.6,304,1,100.0,3,1,1,0,0,0.00,10,3,0,0,25,43.5
736,Rubén Duarte,DF,Alavés,737,61,34,32,30,47,71,0,29.6,912,451,355,80,67.3,84.6,68.8,35.4,1,1.4,13,87,17,9,107,40,7,19,42.1,1.1,1651,12,33.3,29,23,12,49,0,0.00,46,39,1,0,150,50.5
737,Edgaras Dubickas,DF,Lecce,738,0,0,0,0,0,0,0,0.0,1,0,1,0,50.0,0.0,100.0,,0,0.0,0,0,0,0,0,0,0,0,,0.0,2,0,,0,0,0,1,0,0.00,0,0,0,0,1,
738,Leo Dubois,DF,Lyon,739,32,13,23,12,18,34,1,15.0,758,391,282,67,78.6,88.9,80.6,56.3,0,1.2,13,49,12,6,68,27,1,5,0.0,0.2,1109,21,52.4,27,20,5,76,0,0.00,17,11,0,0,74,76.0
739,Martin Dúbravka,GK,Newcastle Utd,740,1,1,1,2,1,17,5,38.0,609,62,206,340,55.5,100.0,98.1,41.8,0,0.0,0,12,1,0,0,3,0,0,,0.0,1198,0,,0,3,0,0,0,0.00,0,4,0,0,35,100.0
740,Ondrej Duda,MF,Norwich City,741,18,7,11,10,6,8,0,8.0,295,177,62,27,77.2,86.8,77.5,50.0,0,1.5,16,15,9,2,25,30,2,10,30.0,0.5,470,10,60.0,8,22,3,17,0,0.00,9,13,0,0,48,21.7
741,Ondrej Duda,MF,Hertha BSC,742,6,1,4,3,5,5,0,5.0,144,80,43,14,77.0,90.9,82.7,51.9,1,0.3,5,15,3,0,17,17,2,7,71.4,0.5,248,23,78.3,8,10,11,19,0,0.00,12,11,0,0,28,33.3
742,Shane Duffy,DF,Brighton,743,18,6,9,13,21,72,0,13.8,521,158,297,63,80.5,84.9,88.1,57.3,0,0.2,2,23,3,1,29,7,0,7,14.3,1.2,807,4,75.0,4,9,3,2,1,0.07,14,10,0,0,56,76.1
743,Haris Duljević,"FW,MF",Nîmes,744,11,4,6,5,2,1,0,5.8,108,62,31,8,68.8,78.5,68.9,44.4,3,1.0,11,8,6,1,20,27,6,14,28.6,0.6,237,23,56.5,15,19,11,29,0,0.00,4,8,0,0,24,28.6
744,Paul Dummett,DF,Newcastle Utd,745,27,21,17,23,23,69,0,13.6,359,181,135,31,70.9,88.7,79.4,32.6,0,0.2,4,31,4,2,31,7,1,2,100.0,0.1,671,2,50.0,7,3,1,16,0,0.00,4,6,0,1,54,46.7
745,Alfred Duncan,MF,Fiorentina,746,12,2,9,4,5,12,0,9.9,341,159,135,37,83.8,91.4,88.8,71.2,1,0.5,6,40,16,2,54,20,2,15,33.3,0.6,504,33,63.6,23,18,21,31,1,0.10,9,10,0,0,43,25.0
746,Alfred Duncan,MF,Sassuolo,747,19,6,12,7,9,13,0,9.4,375,199,144,24,79.1,86.1,79.6,61.5,5,1.1,12,36,10,1,51,31,5,16,18.8,1.1,577,22,54.5,11,20,14,32,1,0.11,16,13,0,0,44,53.8
747,Lewis Dunk,DF,Brighton,748,40,15,24,55,55,125,2,35.9,1991,569,1157,255,86.6,91.2,95.3,59.7,3,1.5,14,127,4,0,110,34,3,31,32.3,4.5,2655,7,71.4,18,15,8,5,3,0.08,19,19,0,0,250,65.5
748,Erik Durm,"DF,FW",Eint Frankfurt,749,13,9,6,11,3,11,0,5.7,145,72,54,10,60.9,80.0,61.4,33.3,0,0.2,4,6,4,1,15,13,1,14,21.4,0.6,321,7,57.1,10,9,11,44,0,0.00,4,4,0,0,28,43.8
749,Riza Durmisi,"DF,MF",Nice,750,1,0,1,2,1,3,0,1.8,80,39,37,4,80.8,95.1,90.2,26.7,0,0.0,0,1,0,0,3,0,0,1,100.0,0.1,117,2,0.0,2,4,2,18,0,0.00,1,0,0,0,8,0.0
750,Hugo Duro,"FW,MF",Getafe,751,6,4,5,3,1,3,0,4.2,40,25,10,1,53.3,67.6,55.6,25.0,1,0.2,3,3,1,0,5,7,1,6,50.0,0.5,125,0,,7,16,11,22,1,0.24,11,16,1,0,12,25.9
751,Jean-Kevin Duverne,DF,Brest,752,12,2,8,23,20,50,0,13.1,725,223,380,118,84.0,87.1,91.8,65.9,0,0.1,2,53,1,0,70,11,0,2,50.0,0.2,999,11,63.6,15,5,3,4,0,0.00,10,9,0,0,73,42.9
752,Paulo Dybala,"FW,MF",Juventus,753,19,9,10,15,13,3,0,23.9,1264,712,342,120,82.9,90.7,84.9,66.3,6,6.7,68,97,49,7,135,162,24,99,35.4,8.6,1833,107,60.7,101,60,41,204,10,0.42,24,54,3,0,86,18.2
753,Edin Džeko,FW,Roma,754,16,2,11,11,6,33,0,31.7,543,260,196,73,68.5,72.6,73.1,75.3,7,5.7,54,66,30,2,107,116,21,122,37.7,19.0,1165,65,53.8,52,84,39,254,16,0.50,39,48,4,0,68,62.4
754,Blerim Džemaili,MF,Bologna,755,19,4,12,9,7,6,0,7.8,289,141,103,31,81.9,89.8,87.3,62.0,1,1.3,19,32,11,0,58,33,2,16,25.0,0.5,447,10,100.0,20,19,17,27,1,0.13,11,17,0,0,57,85.7
755,Bruno Ecuele Manga,DF,Dijon,756,22,9,15,34,37,112,2,28.0,1151,298,662,181,84.3,86.6,91.3,66.5,0,0.3,5,50,6,0,48,14,1,18,0.0,1.7,1629,7,85.7,5,13,11,1,0,0.00,10,15,0,0,172,68.3
756,Simone Edera,"MF,FW",Torino,757,13,2,5,1,1,3,0,4.4,94,42,35,10,71.8,76.4,87.5,83.3,1,0.7,6,6,4,0,19,22,2,15,46.7,1.2,201,14,28.6,13,14,6,31,1,0.23,13,5,1,0,10,33.3
757,Ederson,GK,Manchester City,758,2,2,2,0,3,16,6,34.1,949,276,481,190,87.7,99.6,98.8,60.9,0,0.1,1,10,0,0,0,6,1,0,,0.0,1148,0,,0,1,0,0,0,0.00,2,2,0,0,49,92.3
758,John Egan,DF,Sheffield Utd,759,44,25,27,39,58,171,4,35.4,1040,298,556,177,79.9,85.4,86.3,63.4,0,0.4,1,56,1,0,66,11,1,27,14.8,2.7,1682,2,50.0,6,14,0,5,2,0.06,34,20,0,0,177,63.3
759,Johannes Eggestein,"MF,FW",Werder Bremen,760,8,3,6,6,2,4,0,5.7,144,86,43,6,71.3,80.4,78.2,42.9,0,0.4,6,6,3,1,11,15,0,15,40.0,0.7,261,4,25.0,8,11,10,39,1,0.18,8,6,0,0,27,11.1
760,Maximilian Eggestein,MF,Werder Bremen,761,40,15,28,37,36,57,0,31.7,1125,589,428,76,77.1,85.6,80.9,60.8,3,2.2,31,137,39,3,209,83,6,45,24.4,2.6,1796,46,47.8,50,41,29,112,1,0.03,34,39,0,0,187,39.6
761,Kingsley Ehizibue,DF,Köln,762,79,33,53,28,39,79,1,25.9,829,408,328,78,73.5,84.6,75.9,53.4,1,1.3,15,44,19,12,65,38,4,12,33.3,1.3,1476,63,57.1,65,38,14,96,1,0.04,55,35,0,0,106,56.9
762,Albin Ekdal,MF,Sampdoria,763,51,24,25,35,33,46,1,26.5,991,502,393,67,85.1,88.4,89.9,69.1,2,1.2,23,113,21,2,137,63,6,16,12.5,1.5,1449,36,72.2,45,35,25,26,0,0.00,43,56,2,0,204,56.5
763,Harvey Elliott,DF,Liverpool,764,0,0,0,0,0,0,0,0.1,11,9,1,1,73.3,90.0,25.0,100.0,0,0.0,0,3,1,0,2,0,0,0,,0.0,16,2,50.0,0,0,0,1,0,0.00,0,0,0,0,1,
