,Unnamed: 0_x,Player,Pos,Squad,Rk,Tkl,Tkl.1,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK.1,Fls,Fld,PKwon,OG,Recov,Won%,Unnamed: 0_y,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
420,2211,Antonio Sanabria,FW,Betis,2212,8.0,0.0,8.0,5.0,4.0,6.0,0.0,9.5,126.0,74.0,32.0,6.0,72.4,79.6,64.0,85.7,0,0.1,4.0,5.0,0.0,0.0,7.0,11.0,3.0,24.0,50.0,5.1,264.0,11.0,54.5,11.0,28.0,8.0,51.0,8,0.84,12,15.0,0.0,0.0,20.0,39.0,14394,Real Betis Balompié,Antonio Sanabria,22.0,Centre-Forward,Genoa,Loan fee:€550Th.,out,Winter,0.55,Primera Division,2018,2018/2019
421,2215,Carlos Sánchez,"MF,DF",Fiorentina,2216,7.0,4.0,6.0,3.0,8.0,10.0,0.0,4.1,210.0,87.0,97.0,21.0,83.3,90.6,87.4,60.0,0,0.0,0.0,13.0,0.0,0.0,21.0,2.0,0.0,5.0,40.0,0.8,297.0,1.0,100.0,2.0,5.0,6.0,2.0,1,0.24,6,1.0,0.0,0.0,33.0,26.7,22992,ACF Fiorentina,Carlos Sánchez,32.0,Defensive Midfield,West Ham,free transfer,out,Summer,0.0,Serie A,2018,2018/2019
422,2216,Carlos Sánchez,MF,Espanyol,2217,25.0,9.0,12.0,13.0,18.0,24.0,2.0,12.5,478.0,209.0,197.0,63.0,81.8,83.9,88.3,74.1,0,0.3,3.0,44.0,4.0,0.0,36.0,16.0,0.0,4.0,0.0,0.1,686.0,10.0,90.0,2.0,12.0,14.0,3.0,0,0.0,24,14.0,0.0,0.0,87.0,70.3,22992,ACF Fiorentina,Carlos Sánchez,32.0,Defensive Midfield,West Ham,free transfer,out,Summer,0.0,Serie A,2018,2018/2019
423,2221,Sandro,MF,Benevento,2222,29.0,12.0,21.0,23.0,18.0,43.0,1.0,12.8,627.0,305.0,259.0,35.0,88.4,91.3,90.6,70.0,0,0.3,5.0,34.0,4.0,0.0,49.0,19.0,1.0,15.0,26.7,0.7,851.0,11.0,100.0,3.0,11.0,4.0,10.0,1,0.08,25,14.0,0.0,0.0,70.0,48.3,23808,Genoa CFC,Sandro,29.0,Defensive Midfield,Udinese Calcio,Loan fee:€500Th.,out,Winter,0.5,Serie A,2018,2018/2019
424,2226,Salif Sané,DF,Hannover 96,2227,57.0,40.0,43.0,49.0,57.0,238.0,6.0,32.0,1459.0,414.0,799.0,227.0,80.5,85.2,89.0,60.7,1,0.6,10.0,98.0,7.0,1.0,138.0,39.0,3.0,28.0,35.7,1.9,2258.0,18.0,83.3,33.0,26.0,13.0,13.0,4,0.13,35,36.0,0.0,0.0,217.0,80.9,11489,Hannover 96,Salif Sané,27.0,Centre-Back,FC Schalke 04,€7.00m,out,Summer,7.0,1 Bundesliga,2018,2018/2019
425,2235,Ivan Santini,FW,Caen,2236,19.0,4.0,12.0,13.0,4.0,33.0,0.0,30.9,452.0,269.0,124.0,17.0,63.0,67.3,65.6,63.0,1,1.4,24.0,29.0,4.0,0.0,45.0,67.0,4.0,82.0,36.6,10.3,1035.0,18.0,72.2,10.0,99.0,59.0,203.0,6,0.19,79,53.0,2.0,0.0,70.0,40.4,14074,SM Caen,Ivan Santini,29.0,Centre-Forward,RSC Anderlecht,€3.00m,out,Summer,3.0,Ligue 1,2018,2018/2019
426,2236,Davide Santon,DF,Inter,2237,19.0,9.0,14.0,10.0,20.0,32.0,2.0,9.3,439.0,221.0,164.0,47.0,80.0,92.5,77.4,62.7,0,0.1,2.0,26.0,2.0,1.0,32.0,10.0,1.0,7.0,28.6,0.2,663.0,19.0,68.4,30.0,6.0,6.0,33.0,0,0.0,11,8.0,0.0,0.0,59.0,70.3,23144,Inter Milan,Davide Santon,27.0,Right-Back,AS Roma,€9.50m,out,Summer,9.5,Serie A,2018,2018/2019
427,2237,Christian Santos,FW,Alavés,2238,2.0,0.0,0.0,2.0,2.0,9.0,0.0,4.8,89.0,59.0,21.0,2.0,65.0,69.4,58.3,66.7,0,0.0,2.0,8.0,0.0,0.0,6.0,5.0,0.0,7.0,71.4,0.9,182.0,0.0,,0.0,17.0,3.0,16.0,2,0.41,17,0.0,0.0,0.0,13.0,48.5,13792,Deportivo Alavés,Christian Santos,30.0,Centre-Forward,Dep. La Coruña,free transfer,out,Summer,0.0,Primera Division,2018,2018/2019
428,2241,Riccardo Saponara,"MF,FW",Fiorentina,2242,12.0,2.0,8.0,3.0,1.0,5.0,0.0,10.0,347.0,179.0,114.0,36.0,78.2,87.7,80.3,63.2,4,4.1,36.0,49.0,20.0,1.0,85.0,63.0,4.0,21.0,28.6,1.0,534.0,25.0,68.0,39.0,22.0,15.0,64.0,0,0.0,15,21.0,0.0,0.0,63.0,64.3,22938,Empoli FC,Riccardo Saponara,26.0,Attacking Midfield,Fiorentina,€9.00m,out,Summer,9.0,Serie A,2018,2018/2019
429,2241,Riccardo Saponara,"MF,FW",Fiorentina,2242,12.0,2.0,8.0,3.0,1.0,5.0,0.0,10.0,347.0,179.0,114.0,36.0,78.2,87.7,80.3,63.2,4,4.1,36.0,49.0,20.0,1.0,85.0,63.0,4.0,21.0,28.6,1.0,534.0,25.0,68.0,39.0,22.0,15.0,64.0,0,0.0,15,21.0,0.0,0.0,63.0,64.3,22985,ACF Fiorentina,Riccardo Saponara,26.0,Attacking Midfield,Sampdoria,Loan fee:€2.00m,out,Summer,2.0,Serie A,2018,2018/2019
430,2248,Marco Sau,"FW,MF",Cagliari,2249,9.0,1.0,6.0,10.0,9.0,1.0,0.0,14.6,289.0,166.0,85.0,17.0,74.5,83.8,77.3,63.0,0,0.9,12.0,10.0,6.0,0.0,22.0,35.0,3.0,24.0,37.5,2.7,510.0,14.0,21.4,26.0,40.0,38.0,101.0,2,0.14,18,25.0,2.0,0.0,78.0,21.1,23721,Cagliari Calcio,Marco Sau,31.0,Centre-Forward,Sampdoria,€100Th.,out,Winter,0.1,Serie A,2018,2018/2019
431,2252,Ezequiel Schelotto,DF,Brighton,2253,20.0,12.0,13.0,7.0,19.0,58.0,2.0,14.6,448.0,212.0,173.0,48.0,72.1,83.5,69.2,60.0,0,0.6,5.0,35.0,8.0,5.0,48.0,21.0,1.0,6.0,33.3,0.2,776.0,25.0,60.0,37.0,14.0,12.0,53.0,0,0.0,8,11.0,0.0,0.0,74.0,60.0,20795,Brighton & Hove Albion,Ezequiel Schelotto,29.0,Right-Back,Chievo Verona,Loan fee:€220Th.,out,Winter,0.22,Premier League,2018,2018/2019
432,2254,Eros Schiavon,"MF,DF",SPAL,2255,6.0,1.0,5.0,6.0,2.0,4.0,0.0,4.3,85.0,44.0,35.0,3.0,63.0,77.2,70.0,17.6,0,0.0,1.0,8.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,164.0,5.0,60.0,6.0,3.0,5.0,6.0,0,0.0,10,3.0,0.0,0.0,16.0,10.0,23560,SPAL,Eros Schiavon,35.0,Central Midfield,Pro Vercelli,free transfer,out,Summer,0.0,Serie A,2018,2018/2019
433,2255,Patrik Schick,"FW,MF",Roma,2256,9.0,1.0,7.0,14.0,2.0,11.0,0.0,11.0,223.0,137.0,60.0,6.0,76.9,82.5,77.9,54.5,0,2.3,14.0,15.0,8.0,1.0,21.0,33.0,0.0,27.0,40.7,3.1,432.0,32.0,53.1,19.0,33.0,21.0,103.0,2,0.18,20,23.0,0.0,0.0,46.0,44.6,23452,UC Sampdoria,Patrik Schick,22.0,Centre-Forward,AS Roma,€42.00m,out,Summer,42.0,Serie A,2018,2018/2019
434,2256,Julian Schieber,"MF,FW",Hertha BSC,2257,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.6,6.0,4.0,1.0,1.0,46.2,57.1,20.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,24.0,5.0,0.0,0.0,0.0,0.0,4.0,0,0.0,2,1.0,0.0,0.0,1.0,100.0,11413,Hertha BSC,Julian Schieber,29.0,Centre-Forward,FC Augsburg,free transfer,out,Summer,0.0,1 Bundesliga,2018,2018/2019
435,2264,Benno Schmitz,DF,RB Leipzig,2265,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,44.0,28.0,12.0,2.0,80.0,90.3,75.0,33.3,0,0.1,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,61.0,0.0,,1.0,0.0,0.0,4.0,0,0.0,0,1.0,0.0,0.0,4.0,75.0,11305,RB Leipzig,Benno Schmitz,23.0,Right-Back,1. FC Köln,€200Th.,out,Summer,0.2,1 Bundesliga,2018,2018/2019
