,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
13883,Willem II Tilburg,James McGarry,22.0,Left-Back,Wellington P.,free transfer,out,Summer,0.0,Eredivisie,2020,2020/2021
13884,Willem II Tilburg,Fernando Lewis,27.0,Right Winger,Quick Boys,free transfer,out,Summer,0.0,Eredivisie,2020,2020/2021
13885,Willem II Tilburg,Timon Wellenreuther,24.0,Goalkeeper,RSC Anderlecht,free transfer,out,Summer,0.0,Eredivisie,2020,2020/2021
13886,Willem II Tilburg,Justin Ogenia,21.0,Right-Back,FC Eindhoven,€10Th.,out,Summer,0.01,Eredivisie,2020,2020/2021
13902,ADO Den Haag,Samy Bourard,24.0,Attacking Midfield,Fehérvár,€200Th.,out,Winter,0.2,Eredivisie,2020,2020/2021
13903,ADO Den Haag,Nikolaos Karelis,28.0,Centre-Forward,Panetolikos,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13912,Ajax Amsterdam,Quincy Promes,29.0,Left Winger,Spartak Moscow,€8.50m,out,Winter,8.5,Eredivisie,2020,2020/2021
13913,Ajax Amsterdam,Klaas-Jan Huntelaar,37.0,Centre-Forward,FC Schalke 04,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13926,FC Emmen,Donis Avdijaj,24.0,Attacking Midfield,AEL Limassol,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13927,FC Emmen,Collin Seedorf,25.0,Centre-Back,FC Eindhoven,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13928,FC Emmen,Behadil Sabani,21.0,Defensive Midfield,RW Koblenz,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13929,FC Emmen,Anco Jansen,31.0,attack,NAC Breda,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13953,FC Groningen,Görkem Can,20.0,Centre-Back,Denizlispor,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13954,FC Groningen,Nigel Bertrams,28.0,Goalkeeper,PEC Zwolle,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13962,SC Heerenveen,Andreas Skovgaard,23.0,Centre-Back,Örebro SK,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13967,Heracles Almelo,Silvester van der Water,24.0,Right Winger,Orlando,€1.20m,out,Winter,1.2,Eredivisie,2020,2020/2021
13980,PSV Eindhoven,Jorrit Hendrix,25.0,Defensive Midfield,Spartak Moscow,€500Th.,out,Winter,0.5,Eredivisie,2020,2020/2021
13986,RKC Waalwijk,Teun van Grunsven,21.0,Centre-Back,FC Den Bosch,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13987,RKC Waalwijk,Nicolas Olsak,29.0,Central Midfield,B. Jerusalem,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
13989,Sparta Rotterdam,Lorenzo Fonseca,23.0,Centre-Back,FC Den Bosch,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
14006,Vitesse Arnhem,Max Clark,25.0,Left-Back,Hull City,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
14015,VVV-Venlo,Evert Linthorst,20.0,Central Midfield,Ittihad Kalba,€600Th.,out,Winter,0.6,Eredivisie,2020,2020/2021
14025,Willem II Tilburg,Paul Gladon,28.0,Centre-Forward,FC Emmen,free transfer,out,Winter,0.0,Eredivisie,2020,2020/2021
14038,Ajax Amsterdam,Razvan Marin,25.0,Central Midfield,Cagliari Calcio,€10.00m,out,Summer,10.0,Eredivisie,2021,2021/2022
14039,Ajax Amsterdam,Lassina Traoré,20.0,Centre-Forward,Shakhtar D.,€10.00m,out,Summer,10.0,Eredivisie,2021,2021/2022
14040,Ajax Amsterdam,Noa Lang,22.0,Left Winger,Club Brugge,€6.00m,out,Summer,6.0,Eredivisie,2021,2021/2022
14041,Ajax Amsterdam,Kjell Scherpen,21.0,Goalkeeper,Brighton,€5.00m,out,Summer,5.0,Eredivisie,2021,2021/2022
14042,Ajax Amsterdam,Jurgen Ekkelenkamp,21.0,Central Midfield,Hertha BSC,€3.00m,out,Summer,3.0,Eredivisie,2021,2021/2022
14061,AZ Alkmaar,Myron Boadu,20.0,Centre-Forward,Monaco,€17.00m,out,Summer,17.0,Eredivisie,2021,2021/2022
14062,AZ Alkmaar,Calvin Stengs,22.0,Right Winger,OGC Nice,€15.00m,out,Summer,15.0,Eredivisie,2021,2021/2022
14063,AZ Alkmaar,Teun Koopmeiners,23.0,Defensive Midfield,Atalanta BC,€14.00m,out,Summer,14.0,Eredivisie,2021,2021/2022
14064,AZ Alkmaar,Marco Bizot,30.0,Goalkeeper,Stade Brestois,€5.00m,out,Summer,5.0,Eredivisie,2021,2021/2022
14065,AZ Alkmaar,Jonas Svensson,28.0,Right-Back,Adana Demirspor,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14066,AZ Alkmaar,Jasper Schendelaar,20.0,Goalkeeper,PEC Zwolle,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14067,AZ Alkmaar,Ramon Leeuwin,33.0,Centre-Back,Almere City,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14068,AZ Alkmaar,Rody de Boer,23.0,Goalkeeper,Roda JC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14082,SC Cambuur-Leeuwarden,Sven Nieuwpoort,28.0,Centre-Back,Excelsior,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14083,SC Cambuur-Leeuwarden,Ragnar Oratmangoen,23.0,Left Winger,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14084,SC Cambuur-Leeuwarden,Giovanni Korte,27.0,Right Winger,De Graafschap,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14085,SC Cambuur-Leeuwarden,Maarten Pouwels,22.0,Centre-Forward,Almere City,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14086,SC Cambuur-Leeuwarden,Jarchinio Antonia,30.0,Right Winger,NAC Breda,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14115,Feyenoord Rotterdam,Steven Berghuis,29.0,Attacking Midfield,Ajax,€5.50m,out,Summer,5.5,Eredivisie,2021,2021/2022
14116,Feyenoord Rotterdam,Wouter Burger,20.0,Central Midfield,FC Basel,€700Th.,out,Summer,0.7,Eredivisie,2021,2021/2022
14117,Feyenoord Rotterdam,Ridgeciano Haps,28.0,Left-Back,Venezia,€500Th.,out,Summer,0.5,Eredivisie,2021,2021/2022
14118,Feyenoord Rotterdam,Ramón ten Hove,23.0,Goalkeeper,Esbjerg fB,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14119,Feyenoord Rotterdam,Nicolai Jörgensen,30.0,Centre-Forward,Kasimpasa,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14120,Feyenoord Rotterdam,Eric Botteghin,33.0,Centre-Back,Ascoli,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14121,Feyenoord Rotterdam,Dylan Vente,22.0,Centre-Forward,Roda JC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14122,Feyenoord Rotterdam,Liam Kelly,25.0,Central Midfield,Rochdale,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14123,Feyenoord Rotterdam,Nick Marsman,30.0,Goalkeeper,Miami,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14124,Feyenoord Rotterdam,George Johnston,22.0,Centre-Back,Bolton,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14125,Feyenoord Rotterdam,Sven van Beek,26.0,Centre-Back,Heerenveen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14126,Feyenoord Rotterdam,Bart Nieuwkoop,25.0,Right-Back,Union SG,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14127,Feyenoord Rotterdam,Leroy Fer,31.0,Defensive Midfield,Alanyaspor,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14160,Fortuna Sittard,Veron Parkes,19.0,Second Striker,Varndeanians,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14161,Fortuna Sittard,Dimitrios Ioannidis,21.0,Defensive Midfield,Rot Weiss Ahlen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14162,Fortuna Sittard,Jacky Donkor,22.0,Left Winger,FC Dordrecht,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14163,Fortuna Sittard,Clint Essers,24.0,Right-Back,MVV Maastricht,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14164,Fortuna Sittard,Djibril Dianessy,25.0,Right Winger,Pau FC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14165,Fortuna Sittard,Sebastian Polter,30.0,Centre-Forward,VfL Bochum,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14166,Fortuna Sittard,Özgür Aktas,24.0,Centre-Back,Telstar,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14167,Fortuna Sittard,Leroy George,34.0,Left Winger,De Treffers,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14168,Fortuna Sittard,Lazaros Rota,24.0,Right-Back,AEK Athens,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14169,Fortuna Sittard,Thibaud Verlinden,22.0,Right Winger,Dunajska Streda,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14198,Go Ahead Eagles,Jay Gorter,21.0,Goalkeeper,Ajax,€1.00m,out,Summer,1.0,Eredivisie,2021,2021/2022
14199,Go Ahead Eagles,Sam Beukema,22.0,Centre-Back,AZ Alkmaar,€900Th.,out,Summer,0.9,Eredivisie,2021,2021/2022
14200,Go Ahead Eagles,Antoine Rabillard,25.0,Centre-Forward,Concarneau,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14201,Go Ahead Eagles,Nicolas Abdat,24.0,Left-Back,TOP Oss,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14202,Go Ahead Eagles,Sam Hendriks,26.0,Centre-Forward,SC Cambuur,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14203,Go Ahead Eagles,Alessio Budel,20.0,Goalkeeper,NEC Amateurs,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14204,Go Ahead Eagles,Jeroen Veldmate,32.0,Centre-Back,FC Emmen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14205,Go Ahead Eagles,Mitchel Michaelis,28.0,Goalkeeper,Koninklijke HFC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14206,Go Ahead Eagles,Wout Droste,32.0,Right-Back,ÍA Akranes,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14228,FC Groningen,Gabriel Gudmundsson,22.0,Left-Back,LOSC Lille,€6.00m,out,Summer,6.0,Eredivisie,2021,2021/2022
14229,FC Groningen,Azor Matusiwa,23.0,Defensive Midfield,Stade Reims,€4.00m,out,Summer,4.0,Eredivisie,2021,2021/2022
14230,FC Groningen,Ahmed El Messaoudi,26.0,Attacking Midfield,Gaziantep FK,€400Th.,out,Summer,0.4,Eredivisie,2021,2021/2022
14231,FC Groningen,Thomas Poll,20.0,Left-Back,Almere City,€100Th.,out,Summer,0.1,Eredivisie,2021,2021/2022
14232,FC Groningen,Sergio Padt,31.0,Goalkeeper,Ludogorets,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14233,FC Groningen,Thijs Dallinga,20.0,Centre-Forward,Excelsior,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14234,FC Groningen,Nicklas Strunck Jakobsen,21.0,Central Midfield,Esbjerg fB,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14254,SC Heerenveen,Mitchell van Bergen,22.0,Left Winger,Stade Reims,€2.00m,out,Summer,2.0,Eredivisie,2021,2021/2022
14255,SC Heerenveen,Sherel Floranus,22.0,Right-Back,Antalyaspor,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14256,SC Heerenveen,Ariel Harush,33.0,Goalkeeper,H. Beer Sheva,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14257,SC Heerenveen,Lasse Schöne,35.0,Defensive Midfield,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14258,SC Heerenveen,Rein Smit,20.0,Centre-Forward,Telstar,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14273,Heracles Almelo,Robin Pröpper,27.0,Centre-Back,Twente FC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14274,Heracles Almelo,Teun Bijleveld,23.0,Central Midfield,FC Emmen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14275,Heracles Almelo,Jeff Hardeveld,26.0,Left-Back,FC Emmen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14294,NEC Nijmegen,Ayman Sellouf,19.0,Left Winger,Utrecht U21,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14295,NEC Nijmegen,Job Schuurman,22.0,Goalkeeper,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14296,NEC Nijmegen,Norbert Alblas,26.0,Goalkeeper,TOP Oss,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14297,NEC Nijmegen,Etien Velikonja,32.0,Centre-Forward,ND Gorica,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14298,NEC Nijmegen,Terry Lartey Sanniez,25.0,Right-Back,NK Celje,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14317,PEC Zwolle,Marc-Olivier Doué,20.0,Centre-Back,RE Virton,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14318,PEC Zwolle,Nigel Bertrams,28.0,Goalkeeper,FC Eindhoven,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14319,PEC Zwolle,Clint Leemans,25.0,Central Midfield,Viborg FF,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14320,PEC Zwolle,Jesper Drost,28.0,Attacking Midfield,HHC Hardenberg,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14321,PEC Zwolle,Virgil Misidjan,27.0,Right Winger,Twente FC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14322,PEC Zwolle,Thomas Lam,27.0,Centre-Back,CSKA-Sofia,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14323,PEC Zwolle,Xavier Mous,25.0,Goalkeeper,Heerenveen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14324,PEC Zwolle,Mike van Duinen,29.0,Centre-Forward,OFI Crete FC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14343,PSV Eindhoven,Donyell Malen,22.0,Centre-Forward,Bor. Dortmund,€30.00m,out,Summer,30.0,Eredivisie,2021,2021/2022
14344,PSV Eindhoven,Denzel Dumfries,25.0,Right Midfield,Inter,€13.70m,out,Summer,13.7,Eredivisie,2021,2021/2022
14345,PSV Eindhoven,Pablo Rosario,24.0,Defensive Midfield,OGC Nice,€6.00m,out,Summer,6.0,Eredivisie,2021,2021/2022
14346,PSV Eindhoven,Mohamed Ihattaren,19.0,Attacking Midfield,Juventus,€1.90m,out,Summer,1.9,Eredivisie,2021,2021/2022
14347,PSV Eindhoven,Joël Piroe,21.0,Centre-Forward,Swansea,€1.17m,out,Summer,1.17,Eredivisie,2021,2021/2022
14348,PSV Eindhoven,Nick Viergever,32.0,Centre-Back,Greuther Fürth,€300Th.,out,Summer,0.3,Eredivisie,2021,2021/2022
14349,PSV Eindhoven,Lars Unnerstall,30.0,Goalkeeper,Twente FC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14366,RKC Waalwijk,Cyril Ngonge,21.0,Right Winger,FC Groningen,€200Th.,out,Summer,0.2,Eredivisie,2021,2021/2022
14367,RKC Waalwijk,Nando Nöstlinger,23.0,Central Midfield,Royal Cappellen,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14368,RKC Waalwijk,Sylla Sow,25.0,Left Winger,Sheff Wed,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14369,RKC Waalwijk,Ola John,29.0,Left Winger,Al-Hazem,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14370,RKC Waalwijk,Konstantinos Lamprou,29.0,Goalkeeper,PEC Zwolle,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14371,RKC Waalwijk,Paul Quasten,36.0,Left-Back,Ajax Amateurs,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14372,RKC Waalwijk,Anas Tahiri,26.0,Central Midfield,CFR Cluj,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14373,RKC Waalwijk,Mike Grim,24.0,Goalkeeper,OFC Oostzaan,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14386,Sparta Rotterdam,Laros Duarte,24.0,Defensive Midfield,FC Groningen,€675Th.,out,Summer,0.675,Eredivisie,2021,2021/2022
14387,Sparta Rotterdam,Abdou Harroui,23.0,Central Midfield,Sassuolo,Loan fee:€500Th.,out,Summer,0.5,Eredivisie,2021,2021/2022
14388,Sparta Rotterdam,Deroy Duarte,22.0,Central Midfield,Fortuna Sittard,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14389,Sparta Rotterdam,Danzell Gravenberch,27.0,Centre-Forward,De Graafschap,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14390,Sparta Rotterdam,Michael Fabrie,23.0,Goalkeeper,Smitshoek,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14391,Sparta Rotterdam,Jeffry Fortes,32.0,Right-Back,De Graafschap,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14412,Twente Enschede FC,Joël Drommel,24.0,Goalkeeper,PSV Eindhoven,€3.50m,out,Summer,3.5,Eredivisie,2021,2021/2022
14413,Twente Enschede FC,Queensy Menig,26.0,Left Winger,Partizan,€700Th.,out,Summer,0.7,Eredivisie,2021,2021/2022
14414,Twente Enschede FC,Lindon Selahi,22.0,Central Midfield,HNK Rijeka,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14437,FC Utrecht,Gyrano Kerk,25.0,Right Winger,Loko Moscow,€6.00m,out,Summer,6.0,Eredivisie,2021,2021/2022
14438,FC Utrecht,Vaclav Cerny,23.0,Right Winger,Twente FC,€1.00m,out,Summer,1.0,Eredivisie,2021,2021/2022
14439,FC Utrecht,Odysseus Velanas,23.0,Attacking Midfield,NAC Breda,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14440,FC Utrecht,Giovanni Troupée,23.0,Right-Back,Twente FC,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14441,FC Utrecht,Leon Guwara,25.0,Left-Back,Jahn Regensburg,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14459,Vitesse Arnhem,Remko Pasveer,37.0,Goalkeeper,Ajax,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14460,Vitesse Arnhem,Thomas Bruns,29.0,Central Midfield,Adanaspor,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14461,Vitesse Arnhem,Bilal Bayazit,22.0,Goalkeeper,Kayserispor,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14477,Willem II Tilburg,Mike Trésor,22.0,Attacking Midfield,KRC Genk,€3.50m,out,Summer,3.5,Eredivisie,2021,2021/2022
14478,Willem II Tilburg,Vangelis Pavlidis,22.0,Centre-Forward,AZ Alkmaar,€2.50m,out,Summer,2.5,Eredivisie,2021,2021/2022
14479,Willem II Tilburg,Dylan Ryan,21.0,Centre-Back,FC Den Bosch,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14480,Willem II Tilburg,Victor van den Bogert,21.0,Centre-Back,FC Den Bosch,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14481,Willem II Tilburg,Sebastian Holmén,29.0,Centre-Back,C. Rizespor,free transfer,out,Summer,0.0,Eredivisie,2021,2021/2022
14493,Ajax Amsterdam,David Neres,24.0,Right Winger,Shakhtar D.,€12.00m,out,Winter,12.0,Eredivisie,2021,2021/2022
14500,AZ Alkmaar,Albert Gudmundsson,24.0,Right Winger,Genoa,€1.20m,out,Winter,1.2,Eredivisie,2021,2021/2022
14501,AZ Alkmaar,Thijs Oosting,21.0,Attacking Midfield,Willem II,€1.00m,out,Winter,1.0,Eredivisie,2021,2021/2022
14514,Feyenoord Rotterdam,João Carlos Teixeira,29.0,Attacking Midfield,Famalicão,free transfer,out,Winter,0.0,Eredivisie,2021,2021/2022
14527,Fortuna Sittard,Bassala Sambou,24.0,Centre-Forward,Crewe Alexandra,free transfer,out,Winter,0.0,Eredivisie,2021,2021/2022
14537,Go Ahead Eagles,Warner Hahn,29.0,Goalkeeper,IFK Göteborg,free transfer,out,Winter,0.0,Eredivisie,2021,2021/2022
14551,SC Heerenveen,Joey Veerman,23.0,Central Midfield,PSV Eindhoven,€6.00m,out,Winter,6.0,Eredivisie,2021,2021/2022
14552,SC Heerenveen,Henk Veerman,30.0,Centre-Forward,FC Utrecht,€350Th.,out,Winter,0.35,Eredivisie,2021,2021/2022
14564,Heracles Almelo,Delano Burgzorg,23.0,Left Winger,1.FSV Mainz 05,Loan fee:€300Th.,out,Winter,0.3,Eredivisie,2021,2021/2022
14565,Heracles Almelo,Rai Vloet,26.0,Attacking Midfield,FC Astana,free transfer,out,Winter,0.0,Eredivisie,2021,2021/2022
14592,Sparta Rotterdam,Maduka Okoye,22.0,Goalkeeper,Watford,€5.00m,out,Winter,5.0,Eredivisie,2021,2021/2022
14593,Sparta Rotterdam,Emanuel Emegha,18.0,Centre-Forward,Royal Antwerp,€1.50m,out,Winter,1.5,Eredivisie,2021,2021/2022
14615,Vitesse Arnhem,Oussama Tannane,27.0,Attacking Midfield,Göztepe,free transfer,out,Winter,0.0,Eredivisie,2021,2021/2022
14616,Vitesse Arnhem,Hilary Gong,23.0,Right Winger,Haugesund,free transfer,out,Winter,0.0,Eredivisie,2021,2021/2022
14626,Willem II Tilburg,Kwasi Wriedt,27.0,Centre-Forward,Holstein Kiel,€500Th.,out,Winter,0.5,Eredivisie,2021,2021/2022
14646,Ajax Amsterdam,Antony,22.0,Right Winger,Man Utd,€95.00m,out,summer,95.0,Eredivisie,2022,2022/2023
14647,Ajax Amsterdam,Lisandro Martínez,24.0,Centre-Back,Man Utd,€57.37m,out,summer,57.37,Eredivisie,2022,2022/2023
14648,Ajax Amsterdam,Sébastien Haller,28.0,Centre-Forward,Bor. Dortmund,€31.00m,out,summer,31.0,Eredivisie,2022,2022/2023
14649,Ajax Amsterdam,Ryan Gravenberch,20.0,Central Midfield,Bayern Munich,€18.50m,out,summer,18.5,Eredivisie,2022,2022/2023
14650,Ajax Amsterdam,Perr Schuurs,22.0,Centre-Back,Torino,€9.00m,out,summer,9.0,Eredivisie,2022,2022/2023
14651,Ajax Amsterdam,Nicolás Tagliafico,29.0,Left-Back,Olympique Lyon,€4.20m,out,summer,4.2,Eredivisie,2022,2022/2023
14652,Ajax Amsterdam,Dominik Kotarski,22.0,Goalkeeper,HNK Gorica,€1.00m,out,summer,1.0,Eredivisie,2022,2022/2023
14653,Ajax Amsterdam,Naci Ünüvar,19.0,Left Winger,Trabzonspor,Loan fee:€150Th.,out,summer,0.15,Eredivisie,2022,2022/2023
14654,Ajax Amsterdam,André Onana,26.0,Goalkeeper,Inter,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14655,Ajax Amsterdam,Przemyslaw Tyton,35.0,Goalkeeper,Twente FC,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14656,Ajax Amsterdam,Danilo,23.0,Centre-Forward,Feyenoord,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14657,Ajax Amsterdam,Noussair Mazraoui,24.0,Right-Back,Bayern Munich,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14658,Ajax Amsterdam,Sean Klaiber,28.0,Right-Back,FC Utrecht,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14674,AZ Alkmaar,Owen Wijndal,22.0,Left-Back,Ajax,€10.00m,out,summer,10.0,Eredivisie,2022,2022/2023
14675,AZ Alkmaar,Fredrik Midtsjö,28.0,Central Midfield,Galatasaray,€3.50m,out,summer,3.5,Eredivisie,2022,2022/2023
14676,AZ Alkmaar,Zakaria Aboukhlal,22.0,Right Winger,Toulouse,€2.00m,out,summer,2.0,Eredivisie,2022,2022/2023
14677,AZ Alkmaar,Thomas Ouwejan,25.0,Left-Back,FC Schalke 04,€2.00m,out,summer,2.0,Eredivisie,2022,2022/2023
14678,AZ Alkmaar,Ferdy Druijf,24.0,Centre-Forward,Rapid Vienna,€1.00m,out,summer,1.0,Eredivisie,2022,2022/2023
14679,AZ Alkmaar,Mohamed Taabouni,20.0,Attacking Midfield,Feyenoord,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14699,SC Cambuur-Leeuwarden,Issa Kallon,26.0,Left Winger,SH Port,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14700,SC Cambuur-Leeuwarden,Erik Schouten,30.0,Centre-Back,Willem II,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14701,SC Cambuur-Leeuwarden,Sam Hendriks,27.0,Centre-Forward,Olympiakos N.,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14702,SC Cambuur-Leeuwarden,Sonny Stevens,30.0,Goalkeeper,OFI Crete FC,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14719,FC Emmen,Peter van Ooijen,30.0,Left Winger,Helmond Sport,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14720,FC Emmen,Willem Hoffrogge,21.0,Defensive Midfield,SV Atlas,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14721,FC Emmen,Mitch Apau,32.0,Right-Back,Telstar,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14742,Excelsior Rotterdam,Thijs Dallinga,21.0,Centre-Forward,Toulouse,€2.50m,out,summer,2.5,Eredivisie,2022,2022/2023
14743,Excelsior Rotterdam,Mats Wieffer,22.0,Central Midfield,Feyenoord,€575Th.,out,summer,0.575,Eredivisie,2022,2022/2023
14744,Excelsior Rotterdam,Modeste Duku,21.0,Right Winger,Borgo,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14745,Excelsior Rotterdam,Reuven Niemeijer,27.0,Second Striker,Brescia,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14777,Feyenoord Rotterdam,Luis Sinisterra,23.0,Left Winger,Leeds,€25.00m,out,summer,25.0,Eredivisie,2022,2022/2023
14778,Feyenoord Rotterdam,Marcos Senesi,25.0,Centre-Back,Bournemouth,€15.00m,out,summer,15.0,Eredivisie,2022,2022/2023
14779,Feyenoord Rotterdam,Tyrell Malacia,22.0,Left-Back,Man Utd,€15.00m,out,summer,15.0,Eredivisie,2022,2022/2023
14780,Feyenoord Rotterdam,Fredrik Aursnes,26.0,Defensive Midfield,Benfica,€13.00m,out,summer,13.0,Eredivisie,2022,2022/2023
14781,Feyenoord Rotterdam,Bryan Linssen,31.0,Centre-Forward,Urawa Reds,€1.30m,out,summer,1.3,Eredivisie,2022,2022/2023
14782,Feyenoord Rotterdam,Jens Toornstra,33.0,Attacking Midfield,FC Utrecht,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14783,Feyenoord Rotterdam,Philippe Sandler,25.0,Centre-Back,NEC Nijmegen,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
14784,Feyenoord Rotterdam,Achraf El Bouchataoui,22.0,Central Midfield,KMSK Deinze,free transfer,out,summer,0.0,Eredivisie,2022,2022/2023
